Wires      Total Counts    CT Counts    CT (%)
0 1    14             0            0
1 2    19             0            0
2 3    30             0            0
3 4    41             0            0
4 5    55             1            1.81818
5 6    67             1            1.49254
6 7    89             1            1.1236
7 8    83             2            2.40964
8 9    92             1            1.08696
9 10    99             3            3.0303
10 11    100             2            2
11 12    100             2            2
12 13    130             2            1.53846
13 14    125             2            1.6
14 15    125             4            3.2
15 16    137             2            1.45985
16 17    136             3            2.20588
17 18    154             3            1.94805
18 19    160             3            1.875
19 20    162             3            1.85185
20 21    160             2            1.25
21 22    167             1            0.598802
22 23    160             3            1.875
23 24    166             2            1.20482
24 25    191             5            2.6178
25 26    193             3            1.5544
26 27    196             2            1.02041
27 28    199             2            1.00503
28 29    209             3            1.43541
29 30    207             2            0.966184
30 31    206             2            0.970874
31 32    207             3            1.44928
32 33    205             3            1.46341
33 34    215             2            0.930233
34 35    216             2            0.925926
35 36    210             1            0.47619
36 37    230             1            0.434783
37 38    234             1            0.42735
38 39    246             3            1.21951
39 40    262             6            2.29008
40 41    236             1            0.423729
41 42    243             0            0
42 43    239             3            1.25523
43 44    238             1            0.420168
44 45    245             3            1.22449
45 46    237             6            2.53165
46 47    233             4            1.71674
47 48    237             3            1.26582
48 49    253             3            1.18577
49 50    254             7            2.75591
50 51    278             5            1.79856
51 52    284             4            1.40845
52 53    255             3            1.17647
53 54    263             3            1.14068
54 55    254             4            1.5748
55 56    240             3            1.25
56 57    242             7            2.89256
57 58    244             5            2.04918
58 59    248             5            2.01613
59 60    236             3            1.27119
60 61    229             1            0.436681
61 62    229             1            0.436681
62 63    238             4            1.68067
63 64    234             1            0.42735
64 65    242             6            2.47934
65 66    262             3            1.14504
66 67    259             2            0.772201
67 68    256             5            1.95312
68 69    256             4            1.5625
69 70    260             6            2.30769
70 71    258             3            1.16279
71 72    251             5            1.99203
72 73    246             2            0.813008
73 74    259             2            0.772201
74 75    257             3            1.16732
75 76    251             2            0.796813
76 77    250             1            0.4
77 78    266             0            0
78 79    259             1            0.3861
79 80    258             5            1.93798
80 81    271             4            1.47601
81 82    272             4            1.47059
82 83    273             3            1.0989
83 84    277             4            1.44404
84 85    277             5            1.80505
85 86    268             3            1.1194
86 87    263             3            1.14068
87 88    272             4            1.47059
88 89    266             2            0.75188
89 90    269             3            1.11524
90 91    266             4            1.50376
91 92    270             1            0.37037
92 93    262             3            1.14504
93 94    266             0            0
94 95    259             2            0.772201
95 96    248             5            2.01613
96 97    245             4            1.63265
97 98    249             2            0.803213
98 99    254             5            1.9685
99 100    237             6            2.53165
100 101    238             5            2.10084
101 102    229             3            1.31004
102 103    233             1            0.429185
103 104    230             0            0
104 105    227             0            0
105 106    236             3            1.27119
106 107    219             2            0.913242
107 108    231             1            0.4329
108 109    232             2            0.862069
109 110    256             3            1.17188
110 111    243             2            0.823045
111 112    247             3            1.21457
112 113    255             3            1.17647
113 114    247             5            2.02429
114 115    249             2            0.803213
115 116    232             2            0.862069
116 117    231             2            0.865801
117 118    254             2            0.787402
118 119    245             2            0.816327
119 120    255             2            0.784314
120 121    247             6            2.42915
121 122    235             1            0.425532
122 123    235             3            1.2766
123 124    225             0            0
124 125    229             1            0.436681
125 126    236             2            0.847458
126 127    233             2            0.858369
127 128    240             2            0.833333
128 129    227             0            0
129 130    207             2            0.966184
130 131    193             3            1.5544
131 132    192             3            1.5625
132 133    190             1            0.526316
133 134    184             3            1.63043
134 135    196             4            2.04082
135 136    202             2            0.990099
136 137    201             3            1.49254
137 138    212             0            0
138 139    213             2            0.938967
139 140    189             1            0.529101
140 141    191             0            0
141 142    198             0            0
142 143    212             2            0.943396
143 144    229             1            0.436681
144 145    250             4            1.6
145 146    235             7            2.97872
146 147    251             12            4.78088
147 148    241             4            1.65975
148 149    265             6            2.26415
149 150    253             3            1.18577
150 151    246             5            2.03252
151 152    236             3            1.27119
152 153    242             2            0.826446
153 154    240             3            1.25
154 155    233             1            0.429185
155 156    240             3            1.25
156 157    257             3            1.16732
157 158    251             3            1.19522
158 159    249             4            1.60643
159 160    251             3            1.19522
160 161    226             3            1.32743
161 162    214             4            1.86916
162 163    211             1            0.473934
163 164    221             2            0.904977
164 165    234             3            1.28205
165 166    244             1            0.409836
166 167    231             1            0.4329
167 168    242             2            0.826446
168 169    237             4            1.68776
169 170    224             0            0
170 171    219             3            1.36986
171 172    217             1            0.460829
172 173    216             2            0.925926
173 174    212             2            0.943396
174 175    227             5            2.20264
175 176    214             4            1.86916
176 177    212             6            2.83019
177 178    197             1            0.507614
178 179    212             5            2.35849
179 180    200             2            1
180 181    202             3            1.48515
181 182    215             0            0
182 183    225             3            1.33333
183 184    221             8            3.61991
184 185    224             3            1.33929
185 186    237             5            2.1097
186 187    223             3            1.34529
187 188    235             3            1.2766
188 189    233             0            0
189 190    237             3            1.26582
190 191    231             0            0
191 192    232             3            1.2931
192 193    236             0            0
193 194    233             0            0
194 195    232             1            0.431034
195 196    225             1            0.444444
196 197    216             0            0
197 198    216             0            0
198 199    205             3            1.46341
199 200    197             3            1.52284
200 201    201             3            1.49254
201 202    198             2            1.0101
202 203    197             2            1.01523
203 204    182             1            0.549451
204 205    187             1            0.534759
205 206    181             3            1.65746
206 207    178             2            1.1236
207 208    183             1            0.546448
208 209    193             4            2.07254
209 210    195             0            0
210 211    193             1            0.518135
211 212    207             0            0
212 213    201             2            0.995025
213 214    202             1            0.49505
214 215    195             1            0.512821
