Wires      Total Counts    CT Counts    CT (%)
315 316    758             5            0.659631
316 317    776             8            1.03093
317 318    771             2            0.259403
318 319    780             3            0.384615
319 320    784             1            0.127551
320 321    825             5            0.606061
321 322    851             4            0.470035
322 323    823             8            0.972053
323 324    803             1            0.124533
324 325    796             4            0.502513
325 326    778             5            0.642674
326 327    783             5            0.63857
327 328    762             4            0.524934
328 329    744             2            0.268817
329 330    729             2            0.274348
330 331    707             3            0.424328
331 332    688             7            1.01744
332 333    680             5            0.735294
333 334    664             2            0.301205
334 335    661             3            0.453858
335 336    652             2            0.306748
336 337    684             4            0.584795
337 338    661             0            0
338 339    640             2            0.3125
339 340    605             1            0.165289
340 341    594             2            0.3367
341 342    592             4            0.675676
342 343    581             7            1.20482
343 344    573             1            0.17452
344 345    571             1            0.175131
345 346    548             0            0
346 347    532             1            0.18797
347 348    530             2            0.377358
348 349    534             5            0.93633
349 350    523             1            0.191205
350 351    534             3            0.561798
351 352    513             4            0.779727
352 353    499             3            0.601202
353 354    470             5            1.06383
354 355    426             2            0.469484
355 356    384             3            0.78125
356 357    363             4            1.10193
357 358    328             3            0.914634
358 359    298             1            0.33557
359 360    286             2            0.699301
360 361    273             2            0.732601
361 362    247             0            0
362 363    225             2            0.888889
363 364    193             0            0
364 365    171             0            0
365 366    133             0            0
366 367    93             1            1.07527
367 368    0             0            -nan
368 369    0             0            -nan
369 370    0             0            -nan
370 371    0             0            -nan
371 372    0             0            -nan
372 373    0             0            -nan
373 374    0             0            -nan
374 375    0             0            -nan
375 376    0             0            -nan
376 377    0             0            -nan
377 378    0             0            -nan
378 379    0             0            -nan
379 380    0             0            -nan
380 381    0             0            -nan
381 382    0             0            -nan
382 383    0             0            -nan
383 384    0             0            -nan
384 385    0             0            -nan
385 386    0             0            -nan
386 387    0             0            -nan
387 388    0             0            -nan
388 389    0             0            -nan
389 390    0             0            -nan
390 391    0             0            -nan
391 392    0             0            -nan
392 393    0             0            -nan
393 394    0             0            -nan
394 395    0             0            -nan
395 396    0             0            -nan
396 397    0             0            -nan
397 398    0             0            -nan
398 399    0             0            -nan
