Wires      Total Counts    CT Counts    CT (%)
0 1    32             0            0
1 2    53             1            1.88679
2 3    75             1            1.33333
3 4    89             1            1.1236
4 5    101             1            0.990099
5 6    114             1            0.877193
6 7    124             2            1.6129
7 8    118             0            0
8 9    125             1            0.8
9 10    133             0            0
10 11    143             0            0
11 12    143             0            0
12 13    141             0            0
13 14    166             2            1.20482
14 15    191             1            0.52356
15 16    197             0            0
16 17    221             2            0.904977
17 18    220             2            0.909091
18 19    254             1            0.393701
19 20    252             1            0.396825
20 21    257             3            1.16732
21 22    284             2            0.704225
22 23    274             0            0
23 24    278             0            0
24 25    314             1            0.318471
25 26    358             2            0.558659
26 27    399             2            0.501253
27 28    420             1            0.238095
28 29    442             1            0.226244
29 30    450             3            0.666667
30 31    438             1            0.228311
31 32    432             2            0.462963
32 33    456             4            0.877193
33 34    471             3            0.636943
34 35    473             4            0.845666
35 36    486             2            0.411523
36 37    500             4            0.8
37 38    514             1            0.194553
38 39    512             3            0.585938
39 40    523             2            0.382409
40 41    513             2            0.389864
41 42    531             0            0
42 43    565             3            0.530973
43 44    583             7            1.20069
44 45    604             6            0.993377
45 46    618             3            0.485437
46 47    673             0            0
47 48    673             2            0.297177
48 49    675             5            0.740741
49 50    678             7            1.03245
50 51    710             9            1.26761
51 52    705             5            0.70922
52 53    758             3            0.395778
53 54    807             13            1.6109
54 55    805             7            0.869565
55 56    819             6            0.732601
56 57    826             8            0.968523
57 58    830             5            0.60241
58 59    808             4            0.49505
59 60    803             0            0
60 61    776             4            0.515464
61 62    771             5            0.648508
62 63    772             7            0.906736
63 64    801             4            0.499376
64 65    820             6            0.731707
65 66    831             4            0.481348
66 67    856             13            1.51869
67 68    843             7            0.830368
68 69    817             6            0.734394
69 70    845             6            0.710059
70 71    837             6            0.716846
71 72    838             4            0.477327
72 73    870             5            0.574713
73 74    868             4            0.460829
74 75    870             5            0.574713
75 76    878             9            1.02506
76 77    897             11            1.22631
77 78    872             7            0.802752
78 79    876             12            1.36986
79 80    847             10            1.18064
80 81    873             17            1.94731
81 82    883             11            1.24575
82 83    891             19            2.13244
83 84    901             6            0.665927
84 85    914             6            0.656455
85 86    902             5            0.554324
86 87    901             4            0.443951
87 88    911             6            0.658617
88 89    921             9            0.977199
89 90    904             9            0.995575
90 91    897             9            1.00334
91 92    911             8            0.878156
92 93    914             8            0.875274
93 94    907             4            0.441014
94 95    894             3            0.33557
95 96    890             4            0.449438
96 97    920             4            0.434783
97 98    945             8            0.846561
98 99    936             9            0.961538
99 100    937             8            0.853789
100 101    954             7            0.733753
101 102    966             9            0.931677
102 103    926             3            0.323974
103 104    955             10            1.04712
104 105    965             4            0.414508
105 106    962             7            0.727651
106 107    928             6            0.646552
107 108    908             6            0.660793
108 109    896             6            0.669643
109 110    868             3            0.345622
110 111    881             5            0.567537
111 112    874             6            0.686499
112 113    884             8            0.904977
113 114    895             5            0.558659
114 115    893             12            1.34378
115 116    884             3            0.339367
116 117    853             2            0.234467
117 118    883             4            0.453001
118 119    878             7            0.797267
119 120    897             3            0.334448
120 121    890             3            0.337079
121 122    869             6            0.690449
122 123    876             5            0.570776
123 124    854             6            0.702576
124 125    868             5            0.576037
125 126    855             7            0.818713
126 127    829             3            0.361882
127 128    838             6            0.71599
128 129    835             4            0.479042
129 130    819             7            0.854701
130 131    820             7            0.853659
131 132    818             4            0.488998
132 133    821             6            0.730816
133 134    811             4            0.493218
134 135    810             7            0.864198
135 136    811             5            0.616523
136 137    814             3            0.36855
137 138    809             5            0.618047
138 139    804             5            0.621891
139 140    809             3            0.370828
140 141    804             5            0.621891
141 142    815             0            0
142 143    864             2            0.231481
143 144    854             6            0.702576
144 145    885             9            1.01695
145 146    884             8            0.904977
146 147    921             22            2.38871
147 148    887             5            0.563698
148 149    866             3            0.34642
149 150    850             6            0.705882
150 151    832             5            0.600962
151 152    836             3            0.358852
152 153    829             3            0.361882
153 154    810             5            0.617284
154 155    862             4            0.464037
155 156    855             4            0.467836
156 157    876             4            0.456621
157 158    899             9            1.00111
158 159    891             2            0.224467
159 160    858             2            0.2331
160 161    867             2            0.230681
161 162    842             5            0.593824
162 163    863             10            1.15875
163 164    853             3            0.3517
164 165    864             4            0.462963
165 166    886             6            0.677201
166 167    907             5            0.551268
167 168    908             7            0.770925
168 169    906             5            0.551876
169 170    888             6            0.675676
170 171    907             6            0.661521
171 172    910             6            0.659341
172 173    884             3            0.339367
173 174    887             5            0.563698
174 175    837             1            0.119474
175 176    851             3            0.352526
176 177    833             7            0.840336
177 178    829             7            0.844391
178 179    820             5            0.609756
179 180    828             6            0.724638
180 181    852             4            0.469484
181 182    870             7            0.804598
182 183    839             8            0.953516
183 184    793             3            0.37831
184 185    780             4            0.512821
185 186    763             1            0.131062
186 187    787             1            0.127065
187 188    793             3            0.37831
188 189    807             7            0.86741
189 190    816             3            0.367647
190 191    814             5            0.614251
191 192    816             4            0.490196
192 193    866             3            0.34642
193 194    873             5            0.572738
194 195    861             11            1.27758
195 196    840             3            0.357143
196 197    862             5            0.580046
197 198    865             7            0.809249
198 199    858             5            0.582751
199 200    849             1            0.117786
200 201    847             7            0.826446
201 202    861             5            0.58072
202 203    881             5            0.567537
203 204    850             1            0.117647
204 205    871             4            0.459242
205 206    841             4            0.475624
206 207    813             9            1.10701
207 208    802             8            0.997506
208 209    812             7            0.862069
209 210    822             7            0.851582
210 211    845             8            0.946746
211 212    848             6            0.707547
212 213    841             3            0.356718
213 214    871             4            0.459242
214 215    851             5            0.587544
215 216    829             4            0.482509
216 217    812             3            0.369458
217 218    804             5            0.621891
218 219    781             3            0.384123
219 220    782             4            0.511509
220 221    808             9            1.11386
221 222    820             1            0.121951
222 223    864             6            0.694444
223 224    877             1            0.114025
224 225    878             1            0.113895
225 226    872             4            0.458716
226 227    850             1            0.117647
227 228    840             4            0.47619
228 229    810             3            0.37037
229 230    822             1            0.121655
230 231    830             4            0.481928
231 232    812             4            0.492611
232 233    825             2            0.242424
233 234    803             2            0.249066
234 235    807             2            0.247831
235 236    805             2            0.248447
236 237    798             6            0.75188
237 238    788             5            0.634518
238 239    771             2            0.259403
239 240    759             5            0.658762
240 241    752             3            0.398936
241 242    775             6            0.774194
242 243    802             7            0.872818
243 244    809             3            0.370828
244 245    833             7            0.840336
245 246    859             4            0.465658
246 247    831             3            0.361011
247 248    791             5            0.632111
248 249    768             3            0.390625
249 250    782             1            0.127877
250 251    777             4            0.514801
251 252    780             0            0
252 253    798             4            0.501253
253 254    792             4            0.505051
254 255    797             4            0.501882
255 256    780             2            0.25641
256 257    799             6            0.750939
257 258    821             6            0.730816
258 259    795             6            0.754717
259 260    796             4            0.502513
260 261    778             4            0.514139
261 262    784             3            0.382653
262 263    786             5            0.636132
263 264    793             3            0.37831
264 265    782             4            0.511509
265 266    777             2            0.2574
266 267    782             6            0.767263
267 268    777             4            0.514801
268 269    780             3            0.384615
269 270    795             6            0.754717
270 271    809             10            1.23609
271 272    804             4            0.497512
272 273    788             1            0.126904
273 274    819             1            0.1221
274 275    789             5            0.633714
275 276    766             2            0.261097
276 277    790             2            0.253165
277 278    796             3            0.376884
278 279    818             4            0.488998
279 280    839             4            0.476758
280 281    812             5            0.615764
281 282    802             3            0.374065
282 283    784             3            0.382653
283 284    739             6            0.811908
284 285    739             6            0.811908
285 286    737             2            0.27137
286 287    780             4            0.512821
287 288    784             3            0.382653
288 289    790             3            0.379747
289 290    797             4            0.501882
290 291    778             6            0.771208
291 292    768             1            0.130208
292 293    775             4            0.516129
293 294    779             5            0.641849
294 295    825             7            0.848485
295 296    809             1            0.123609
296 297    819             0            0
297 298    834             5            0.59952
298 299    826             5            0.605327
299 300    804             2            0.248756
300 301    811             0            0
301 302    804             6            0.746269
302 303    791             3            0.379267
303 304    790             1            0.126582
304 305    779             1            0.12837
305 306    752             6            0.797872
306 307    744             6            0.806452
307 308    757             3            0.396301
308 309    763             2            0.262123
309 310    744             2            0.268817
310 311    781             3            0.384123
311 312    779             6            0.770218
312 313    772             2            0.259067
313 314    768             5            0.651042
314 315    751             2            0.266312
