Wires      Total Counts    CT Counts    CT (%)
262 263    165             1            0.606061
263 264    167             1            0.598802
264 265    170             2            1.17647
265 266    185             2            1.08108
266 267    178             3            1.68539
267 268    179             3            1.67598
268 269    173             2            1.15607
269 270    160             3            1.875
270 271    160             1            0.625
271 272    150             1            0.666667
272 273    148             1            0.675676
273 274    145             0            0
274 275    161             0            0
275 276    164             2            1.21951
276 277    162             2            1.23457
277 278    165             0            0
278 279    160             1            0.625
279 280    164             2            1.21951
280 281    167             1            0.598802
281 282    164             2            1.21951
282 283    159             0            0
283 284    161             0            0
284 285    168             1            0.595238
285 286    158             1            0.632911
286 287    165             0            0
287 288    161             0            0
288 289    150             0            0
289 290    148             1            0.675676
290 291    141             0            0
291 292    134             0            0
292 293    139             1            0.719424
293 294    145             1            0.689655
294 295    128             0            0
295 296    134             1            0.746269
296 297    137             0            0
297 298    125             0            0
298 299    118             1            0.847458
299 300    128             0            0
300 301    119             0            0
301 302    122             0            0
302 303    115             1            0.869565
303 304    116             1            0.862069
304 305    114             1            0.877193
305 306    103             0            0
306 307    100             2            2
307 308    102             0            0
308 309    112             0            0
309 310    109             0            0
310 311    119             1            0.840336
311 312    123             0            0
312 313    123             0            0
313 314    126             0            0
314 315    131             1            0.763359
315 316    127             0            0
316 317    126             0            0
317 318    130             0            0
318 319    118             0            0
319 320    109             0            0
320 321    110             0            0
321 322    111             0            0
322 323    109             0            0
323 324    118             0            0
324 325    124             1            0.806452
325 326    116             0            0
326 327    97             1            1.03093
327 328    95             0            0
328 329    87             0            0
329 330    89             2            2.24719
330 331    97             0            0
331 332    95             0            0
332 333    98             0            0
333 334    104             0            0
334 335    108             0            0
335 336    109             0            0
336 337    104             1            0.961538
337 338    107             1            0.934579
338 339    99             2            2.0202
339 340    94             1            1.06383
340 341    93             1            1.07527
341 342    90             2            2.22222
342 343    85             1            1.17647
343 344    82             0            0
344 345    79             0            0
345 346    79             2            2.53165
346 347    74             3            4.05405
347 348    78             1            1.28205
348 349    75             1            1.33333
349 350    73             2            2.73973
350 351    72             1            1.38889
351 352    66             1            1.51515
352 353    60             1            1.66667
353 354    52             1            1.92308
354 355    56             0            0
355 356    55             1            1.81818
356 357    51             0            0
357 358    54             0            0
358 359    48             2            4.16667
359 360    45             0            0
360 361    38             0            0
361 362    38             0            0
362 363    36             0            0
363 364    29             0            0
364 365    25             0            0
365 366    19             0            0
366 367    10             0            0
367 368    0             0            -nan
368 369    0             0            -nan
369 370    0             0            -nan
370 371    0             0            -nan
371 372    0             0            -nan
372 373    0             0            -nan
373 374    0             0            -nan
374 375    0             0            -nan
