Wires      Total Counts    CT Counts    CT (%)
165 166    837             4            0.477897
166 167    844             5            0.592417
167 168    852             10            1.17371
168 169    877             10            1.14025
169 170    845             2            0.236686
170 171    826             4            0.484262
171 172    815             7            0.858896
172 173    815             5            0.613497
173 174    837             6            0.716846
174 175    840             9            1.07143
175 176    850             4            0.470588
176 177    848             8            0.943396
177 178    847             7            0.826446
178 179    844             6            0.7109
179 180    842             4            0.475059
180 181    833             2            0.240096
181 182    854             12            1.40515
182 183    858             5            0.582751
183 184    861             4            0.464576
184 185    855             2            0.233918
185 186    881             3            0.340522
186 187    863             6            0.695249
187 188    832             1            0.120192
188 189    832             8            0.961538
189 190    808             5            0.618812
190 191    812             5            0.615764
191 192    810             9            1.11111
192 193    858             8            0.932401
193 194    853             10            1.17233
194 195    882             14            1.5873
195 196    854             6            0.702576
196 197    837             9            1.07527
197 198    813             7            0.861009
198 199    838             6            0.71599
199 200    860             5            0.581395
200 201    857             8            0.933489
201 202    876             8            0.913242
202 203    870             9            1.03448
203 204    863             5            0.579374
204 205    857             5            0.583431
205 206    821             4            0.487211
206 207    834             6            0.719424
207 208    830             3            0.361446
208 209    832             4            0.480769
209 210    819             4            0.4884
210 211    800             2            0.25
211 212    801             5            0.62422
212 213    817             6            0.734394
213 214    811             7            0.863132
214 215    861             5            0.58072
215 216    858             5            0.582751
216 217    829             5            0.603136
217 218    847             4            0.472255
218 219    836             3            0.358852
219 220    855             3            0.350877
220 221    824             8            0.970874
221 222    825             4            0.484848
222 223    781             5            0.640205
223 224    782             5            0.639386
224 225    781             3            0.384123
225 226    775             4            0.516129
226 227    794             6            0.755668
227 228    811             3            0.369914
228 229    846             8            0.945626
229 230    829             7            0.844391
230 231    833             7            0.840336
231 232    809             4            0.494438
232 233    783             4            0.510856
233 234    805             6            0.745342
234 235    819             4            0.4884
235 236    815             5            0.613497
236 237    851             4            0.470035
237 238    896             8            0.892857
238 239    896             4            0.446429
239 240    863             6            0.695249
240 241    853             4            0.468933
241 242    839             7            0.834327
242 243    835             3            0.359281
243 244    808             2            0.247525
244 245    817             4            0.489596
245 246    830             3            0.361446
246 247    793             1            0.126103
247 248    804             4            0.497512
248 249    805             3            0.372671
249 250    830             3            0.361446
250 251    837             8            0.955795
251 252    830             8            0.963855
252 253    818             2            0.244499
253 254    823             3            0.36452
254 255    857             1            0.116686
255 256    861             6            0.696864
256 257    839             5            0.595948
257 258    831             9            1.08303
258 259    813             13            1.59902
259 260    807             9            1.11524
260 261    777             10            1.287
261 262    740             8            1.08108
262 263    749             1            0.133511
263 264    784             5            0.637755
264 265    787             1            0.127065
265 266    778             3            0.385604
266 267    796             10            1.25628
267 268    789             9            1.14068
268 269    765             1            0.130719
269 270    794             7            0.881612
270 271    812             3            0.369458
271 272    823             4            0.486027
272 273    849             8            0.942285
273 274    821             11            1.33983
274 275    839             8            0.953516
275 276    789             7            0.887199
276 277    777             3            0.3861
277 278    779             6            0.770218
278 279    805             4            0.496894
279 280    818             3            0.366748
280 281    827             4            0.483676
281 282    805             3            0.372671
282 283    770             8            1.03896
283 284    766             5            0.652742
284 285    753             4            0.531208
285 286    753             5            0.664011
286 287    764             6            0.78534
287 288    790             3            0.379747
288 289    805             6            0.745342
289 290    814             11            1.35135
290 291    818             13            1.58924
291 292    810             5            0.617284
292 293    784             3            0.382653
293 294    773             6            0.776197
294 295    765             2            0.261438
295 296    766             4            0.522193
296 297    778             8            1.02828
297 298    780             9            1.15385
298 299    776             7            0.902062
299 300    769             7            0.910273
300 301    764             7            0.91623
301 302    766             6            0.78329
302 303    765             2            0.261438
303 304    783             8            1.02171
304 305    792             8            1.0101
305 306    778             5            0.642674
306 307    776             10            1.28866
307 308    753             8            1.06242
308 309    771             5            0.648508
309 310    793             4            0.504414
310 311    798             8            1.00251
311 312    801             8            0.998752
312 313    790             4            0.506329
313 314    773             6            0.776197
314 315    766             3            0.391645
315 316    734             9            1.22616
316 317    755             4            0.529801
317 318    773             3            0.388098
318 319    723             6            0.829876
319 320    740             7            0.945946
320 321    742             2            0.269542
321 322    749             5            0.667557
322 323    756             11            1.45503
323 324    763             6            0.78637
324 325    747             6            0.803213
325 326    712             3            0.421348
326 327    698             6            0.859599
327 328    679             5            0.736377
328 329    659             1            0.151745
329 330    641             5            0.780031
330 331    618             0            0
331 332    611             8            1.30933
332 333    626             3            0.479233
333 334    621             2            0.322061
334 335    626             4            0.638978
335 336    604             5            0.827815
336 337    602             7            1.16279
337 338    571             3            0.525394
338 339    566             3            0.530035
339 340    578             3            0.519031
340 341    557             3            0.5386
341 342    551             6            1.08893
342 343    537             3            0.558659
343 344    534             3            0.561798
344 345    506             3            0.592885
345 346    505             4            0.792079
346 347    486             3            0.617284
347 348    462             4            0.865801
348 349    426             3            0.704225
349 350    392             2            0.510204
350 351    368             1            0.271739
351 352    364             2            0.549451
352 353    362             2            0.552486
353 354    352             1            0.284091
354 355    327             3            0.917431
355 356    313             2            0.638978
356 357    300             1            0.333333
357 358    283             3            1.06007
358 359    263             1            0.380228
359 360    246             2            0.813008
360 361    196             1            0.510204
361 362    187             1            0.534759
362 363    155             0            0
363 364    127             0            0
364 365    110             0            0
365 366    90             0            0
366 367    65             1            1.53846
367 368    0             0            -nan
368 369    0             0            -nan
369 370    0             0            -nan
370 371    0             0            -nan
371 372    0             0            -nan
372 373    0             0            -nan
373 374    0             0            -nan
374 375    0             0            -nan
375 376    0             0            -nan
376 377    0             0            -nan
377 378    0             0            -nan
378 379    0             0            -nan
379 380    0             0            -nan
380 381    0             0            -nan
381 382    0             0            -nan
382 383    0             0            -nan
383 384    0             0            -nan
384 385    0             0            -nan
385 386    0             0            -nan
386 387    0             0            -nan
387 388    0             0            -nan
388 389    0             0            -nan
389 390    0             0            -nan
390 391    0             0            -nan
391 392    0             0            -nan
392 393    0             0            -nan
393 394    0             0            -nan
394 395    0             0            -nan
395 396    0             0            -nan
396 397    0             0            -nan
397 398    0             0            -nan
398 399    0             0            -nan
