Wires      Total Counts    CT Counts    CT (%)
0 1    36             1            2.77778
1 2    69             0            0
2 3    91             0            0
3 4    96             0            0
4 5    94             0            0
5 6    110             0            0
6 7    134             3            2.23881
7 8    143             1            0.699301
8 9    161             1            0.621118
9 10    173             1            0.578035
10 11    172             1            0.581395
11 12    187             2            1.06952
12 13    203             0            0
13 14    220             1            0.454545
14 15    235             3            1.2766
15 16    251             3            1.19522
16 17    254             1            0.393701
17 18    271             2            0.738007
18 19    273             2            0.732601
19 20    307             2            0.651466
20 21    335             3            0.895522
21 22    354             3            0.847458
22 23    379             3            0.791557
23 24    393             4            1.01781
24 25    408             5            1.22549
25 26    432             3            0.694444
26 27    446             4            0.896861
27 28    472             5            1.05932
28 29    469             3            0.639659
29 30    490             5            1.02041
30 31    523             3            0.573614
31 32    547             5            0.914077
32 33    550             3            0.545455
33 34    555             6            1.08108
34 35    560             5            0.892857
35 36    557             5            0.897666
36 37    549             3            0.546448
37 38    586             5            0.853242
38 39    623             9            1.44462
39 40    638             3            0.470219
40 41    657             5            0.761035
41 42    672             6            0.892857
42 43    680             4            0.588235
43 44    716             2            0.27933
44 45    729             2            0.274348
45 46    723             8            1.1065
46 47    719             5            0.69541
47 48    684             1            0.146199
48 49    729             10            1.37174
49 50    742             9            1.21294
50 51    768             9            1.17188
51 52    767             4            0.521512
52 53    788             5            0.634518
53 54    797             9            1.12923
54 55    821             9            1.09622
55 56    823             4            0.486027
56 57    827             6            0.725514
57 58    823             9            1.09356
58 59    801             8            0.998752
59 60    824             6            0.728155
60 61    801             3            0.374532
61 62    802             5            0.623441
62 63    840             6            0.714286
63 64    840             6            0.714286
64 65    840             8            0.952381
65 66    848             6            0.707547
66 67    883             8            0.906002
67 68    892             6            0.672646
68 69    911             7            0.768386
69 70    921             9            0.977199
70 71    954             11            1.15304
71 72    953             6            0.629591
72 73    950             7            0.736842
73 74    961             3            0.312175
74 75    927             4            0.431499
75 76    927             2            0.21575
76 77    930             4            0.430108
77 78    931             9            0.966702
78 79    906             7            0.772627
79 80    887             7            0.789177
80 81    923             11            1.19177
81 82    926             10            1.07991
82 83    935             8            0.855615
83 84    928             7            0.75431
84 85    950             4            0.421053
85 86    952             8            0.840336
86 87    932             7            0.751073
87 88    942             9            0.955414
88 89    901             4            0.443951
89 90    870             5            0.574713
90 91    865             4            0.462428
91 92    853             5            0.586166
92 93    847             7            0.826446
93 94    849             8            0.942285
94 95    887             10            1.1274
95 96    867             5            0.576701
96 97    912             7            0.767544
97 98    918             4            0.43573
98 99    921             8            0.868621
99 100    900             4            0.444444
100 101    904             6            0.663717
101 102    904             4            0.442478
102 103    918             6            0.653595
103 104    908             6            0.660793
104 105    905             16            1.76796
105 106    875             5            0.571429
106 107    880             5            0.568182
107 108    853             5            0.586166
108 109    880             8            0.909091
109 110    865             3            0.346821
110 111    871             7            0.803674
111 112    841             7            0.832342
112 113    856             5            0.584112
113 114    862             3            0.348028
114 115    862             13            1.50812
115 116    864             4            0.462963
116 117    892             4            0.44843
117 118    863             4            0.463499
118 119    858             5            0.582751
119 120    849             6            0.706714
120 121    859             8            0.931315
121 122    861             6            0.696864
122 123    871             5            0.574053
123 124    885             5            0.564972
124 125    907             6            0.661521
125 126    953             5            0.524659
126 127    916             7            0.764192
127 128    913             4            0.438116
128 129    925             4            0.432432
129 130    921             8            0.868621
130 131    913             8            0.876232
131 132    914             5            0.547046
132 133    898             12            1.3363
133 134    891             11            1.23457
134 135    865             2            0.231214
135 136    851             6            0.705053
136 137    845             5            0.591716
137 138    850             7            0.823529
138 139    860             5            0.581395
139 140    859             6            0.698487
140 141    869             8            0.920598
141 142    862             3            0.348028
142 143    857             7            0.816803
143 144    878             5            0.569476
144 145    890             2            0.224719
145 146    881             8            0.908059
146 147    886             6            0.677201
147 148    889             7            0.787402
148 149    902             5            0.554324
149 150    920             9            0.978261
150 151    921             4            0.434311
151 152    900             3            0.333333
152 153    879             4            0.455063
153 154    881             7            0.794552
154 155    858             6            0.699301
155 156    859             1            0.116414
156 157    851             6            0.705053
157 158    808             4            0.49505
158 159    796             10            1.25628
159 160    781             5            0.640205
160 161    816             10            1.22549
161 162    840             11            1.30952
162 163    871             12            1.37773
163 164    853             2            0.234467
164 165    834             6            0.719424
