Wires      Total Counts    CT Counts    CT (%)
107 108    867             5            0.576701
108 109    851             4            0.470035
109 110    889             6            0.674916
110 111    869             9            1.03567
111 112    882             7            0.793651
112 113    854             5            0.58548
113 114    833             10            1.20048
114 115    822             9            1.09489
115 116    847             9            1.06257
116 117    856             4            0.46729
117 118    902             4            0.443459
118 119    931             6            0.644468
119 120    901             7            0.776915
120 121    884             7            0.791855
121 122    851             7            0.822562
122 123    832             5            0.600962
123 124    822             4            0.486618
124 125    794             7            0.881612
125 126    800             5            0.625
126 127    819             5            0.610501
127 128    866             4            0.461894
128 129    883             7            0.792752
129 130    879             9            1.02389
130 131    924             11            1.19048
131 132    890             5            0.561798
132 133    868             7            0.806452
133 134    819             5            0.610501
134 135    820             9            1.09756
135 136    794             7            0.881612
136 137    834             11            1.31894
137 138    868             7            0.806452
138 139    864             4            0.462963
139 140    855             6            0.701754
140 141    847             6            0.708383
141 142    826             4            0.484262
142 143    802             10            1.24688
143 144    777             5            0.643501
144 145    782             5            0.639386
145 146    778             8            1.02828
146 147    787             6            0.762389
147 148    830             5            0.60241
148 149    862             4            0.464037
149 150    880             5            0.568182
150 151    889             3            0.337458
151 152    910             8            0.879121
152 153    909             4            0.440044
153 154    918             4            0.43573
154 155    891             3            0.3367
155 156    859             11            1.28056
156 157    886             7            0.790068
157 158    866             13            1.50115
158 159    872             5            0.573394
159 160    858             9            1.04895
160 161    864             5            0.578704
161 162    884             5            0.565611
162 163    894             9            1.00671
163 164    877             1            0.114025
164 165    875             4            0.457143
165 166    853             1            0.117233
166 167    839             6            0.715137
167 168    804             7            0.870647
168 169    790             3            0.379747
169 170    840             5            0.595238
170 171    842             5            0.593824
171 172    849             7            0.824499
172 173    862             6            0.696056
173 174    854             7            0.819672
174 175    828             8            0.966184
175 176    827             6            0.725514
176 177    833             5            0.60024
177 178    815             5            0.613497
178 179    815             9            1.10429
179 180    833             5            0.60024
180 181    863             6            0.695249
181 182    858             10            1.1655
182 183    888             9            1.01351
183 184    864             2            0.231481
184 185    849             6            0.706714
185 186    857             9            1.05018
186 187    810             3            0.37037
187 188    830             6            0.722892
188 189    843             10            1.18624
189 190    831             8            0.962696
190 191    831             5            0.601685
191 192    823             3            0.36452
192 193    818             7            0.855746
193 194    823             6            0.72904
194 195    813             8            0.98401
195 196    813             6            0.738007
196 197    836             6            0.717703
197 198    829             5            0.603136
198 199    813             4            0.492005
199 200    870             5            0.574713
200 201    879             5            0.568828
201 202    880             4            0.454545
202 203    896             6            0.669643
203 204    872             6            0.688073
204 205    826             7            0.847458
205 206    809             7            0.865266
206 207    800             6            0.75
207 208    777             4            0.514801
208 209    782             3            0.383632
209 210    792             5            0.631313
210 211    806             6            0.744417
211 212    812             0            0
212 213    851             11            1.2926
213 214    853             4            0.468933
214 215    859             5            0.582072
215 216    836             9            1.07656
216 217    840             8            0.952381
217 218    815             2            0.245399
218 219    813             6            0.738007
219 220    801             2            0.249688
220 221    797             5            0.627353
221 222    811             8            0.986436
222 223    774             5            0.645995
223 224    799             4            0.500626
224 225    850             9            1.05882
225 226    853             2            0.234467
226 227    864             7            0.810185
227 228    837             4            0.477897
228 229    837             3            0.358423
229 230    837             6            0.716846
230 231    820             12            1.46341
231 232    803             4            0.498132
232 233    784             5            0.637755
233 234    797             4            0.501882
234 235    774             4            0.516796
235 236    783             6            0.766284
236 237    760             4            0.526316
237 238    801             3            0.374532
238 239    771             4            0.518807
239 240    769             3            0.390117
240 241    784             4            0.510204
241 242    780             3            0.384615
242 243    792             8            1.0101
243 244    809             3            0.370828
244 245    785             7            0.89172
245 246    819             8            0.976801
246 247    825             7            0.848485
247 248    840             2            0.238095
248 249    831             5            0.601685
249 250    802             2            0.249377
250 251    812             3            0.369458
251 252    804             2            0.248756
252 253    801             9            1.1236
253 254    805             11            1.36646
254 255    807             5            0.619579
255 256    824             9            1.09223
256 257    844             4            0.473934
257 258    847             6            0.708383
258 259    838             11            1.31265
259 260    824             7            0.849515
260 261    805             6            0.745342
261 262    804             8            0.995025
262 263    771             4            0.518807
263 264    796             5            0.628141
264 265    809             2            0.247219
265 266    813             5            0.615006
266 267    808             5            0.618812
267 268    819             3            0.3663
268 269    818             3            0.366748
269 270    799             5            0.625782
270 271    820             7            0.853659
271 272    802             6            0.74813
272 273    802             5            0.623441
273 274    818             5            0.611247
274 275    821             6            0.730816
275 276    814             2            0.2457
276 277    813             15            1.84502
277 278    797             7            0.878294
278 279    788             10            1.26904
279 280    775             9            1.16129
280 281    772             5            0.647668
281 282    779             6            0.770218
282 283    787             8            1.01652
283 284    804             8            0.995025
284 285    795             6            0.754717
285 286    813             7            0.861009
286 287    796             4            0.502513
287 288    785             5            0.636943
288 289    817             12            1.46879
289 290    821             10            1.21803
290 291    851             12            1.41011
291 292    842             4            0.475059
292 293    818             15            1.83374
293 294    825             9            1.09091
294 295    799             12            1.50188
295 296    770             4            0.519481
296 297    787             4            0.508259
297 298    757             8            1.0568
298 299    764             9            1.17801
299 300    783             4            0.510856
300 301    759             5            0.658762
301 302    799             6            0.750939
302 303    815             5            0.613497
303 304    825             11            1.33333
304 305    802             7            0.872818
305 306    782             9            1.1509
306 307    779             8            1.02696
307 308    765             5            0.653595
308 309    801             9            1.1236
309 310    814             8            0.982801
310 311    804             5            0.621891
311 312    839             5            0.595948
312 313    830             7            0.843373
313 314    840             4            0.47619
314 315    797             5            0.627353
315 316    789             5            0.633714
316 317    757             12            1.5852
317 318    749             3            0.400534
318 319    738             3            0.406504
319 320    764             7            0.91623
320 321    780             7            0.897436
321 322    775             4            0.516129
322 323    801             14            1.74782
323 324    774             3            0.387597
324 325    764             4            0.52356
325 326    744             6            0.806452
326 327    692             6            0.867052
327 328    686             8            1.16618
328 329    714             3            0.420168
329 330    717             6            0.83682
330 331    706             2            0.283286
331 332    734             3            0.408719
332 333    683             12            1.75695
333 334    665             3            0.451128
334 335    660             4            0.606061
335 336    661             4            0.605144
336 337    651             3            0.460829
337 338    627             4            0.637959
338 339    602             6            0.996678
339 340    580             3            0.517241
340 341    541             6            1.10906
341 342    544             5            0.919118
342 343    551             10            1.81488
343 344    544             5            0.919118
344 345    521             2            0.383877
345 346    517             4            0.773694
346 347    490             4            0.816327
347 348    450             2            0.444444
348 349    432             3            0.694444
349 350    400             5            1.25
350 351    358             1            0.27933
351 352    340             1            0.294118
352 353    332             2            0.60241
353 354    297             3            1.0101
354 355    294             3            1.02041
355 356    267             3            1.1236
356 357    231             2            0.865801
357 358    228             3            1.31579
358 359    203             1            0.492611
359 360    175             2            1.14286
360 361    145             0            0
361 362    136             0            0
362 363    116             1            0.862069
363 364    104             1            0.961538
364 365    97             1            1.03093
365 366    58             2            3.44828
366 367    34             0            0
367 368    0             0            -nan
368 369    0             0            -nan
369 370    0             0            -nan
370 371    0             0            -nan
371 372    0             0            -nan
372 373    0             0            -nan
373 374    0             0            -nan
374 375    0             0            -nan
375 376    0             0            -nan
376 377    0             0            -nan
377 378    0             0            -nan
378 379    0             0            -nan
379 380    0             0            -nan
380 381    0             0            -nan
381 382    0             0            -nan
382 383    0             0            -nan
383 384    0             0            -nan
384 385    0             0            -nan
385 386    0             0            -nan
386 387    0             0            -nan
387 388    0             0            -nan
388 389    0             0            -nan
389 390    0             0            -nan
390 391    0             0            -nan
391 392    0             0            -nan
392 393    0             0            -nan
393 394    0             0            -nan
394 395    0             0            -nan
395 396    0             0            -nan
396 397    0             0            -nan
397 398    0             0            -nan
398 399    0             0            -nan
