Wires      Total Counts    CT Counts    CT (%)
0 1    11             0            0
1 2    14             0            0
2 3    18             0            0
3 4    24             0            0
4 5    32             1            3.125
5 6    36             2            5.55556
6 7    50             0            0
7 8    65             0            0
8 9    80             0            0
9 10    103             2            1.94175
10 11    120             2            1.66667
11 12    128             0            0
12 13    148             0            0
13 14    154             3            1.94805
14 15    163             2            1.22699
15 16    179             5            2.7933
16 17    194             2            1.03093
17 18    221             0            0
18 19    240             6            2.5
19 20    258             1            0.387597
20 21    267             1            0.374532
21 22    283             4            1.41343
22 23    299             2            0.668896
23 24    307             0            0
24 25    317             5            1.57729
25 26    340             4            1.17647
26 27    371             2            0.539084
27 28    404             6            1.48515
28 29    422             4            0.947867
29 30    444             8            1.8018
30 31    478             4            0.83682
31 32    492             4            0.813008
32 33    525             4            0.761905
33 34    525             3            0.571429
34 35    534             7            1.31086
35 36    560             5            0.892857
36 37    586             7            1.19454
37 38    612             3            0.490196
38 39    641             8            1.24805
39 40    647             8            1.23648
40 41    643             6            0.933126
41 42    648             6            0.925926
42 43    689             3            0.435414
43 44    709             6            0.846262
44 45    725             4            0.551724
45 46    756             6            0.793651
46 47    797             6            0.752823
47 48    813             4            0.492005
48 49    828             4            0.483092
49 50    845             7            0.828402
50 51    851             8            0.940071
51 52    819             2            0.2442
52 53    854             0            0
53 54    894             6            0.671141
54 55    911             8            0.878156
55 56    895             7            0.782123
56 57    899             8            0.889878
57 58    910             9            0.989011
58 59    903             15            1.66113
59 60    878             5            0.569476
60 61    875             6            0.685714
61 62    869             7            0.805524
62 63    895             5            0.558659
63 64    878             5            0.569476
64 65    909             14            1.54015
65 66    905             13            1.43646
66 67    930             19            2.04301
67 68    874             6            0.686499
68 69    879             7            0.796359
69 70    912             9            0.986842
70 71    888             12            1.35135
71 72    889             4            0.449944
72 73    897             8            0.891862
73 74    929             10            1.07643
74 75    927             4            0.431499
75 76    959             7            0.729927
76 77    962             6            0.623701
77 78    940             12            1.2766
78 79    910             11            1.20879
79 80    907             7            0.771775
80 81    913             6            0.657174
81 82    930             9            0.967742
82 83    890             12            1.34831
83 84    875             10            1.14286
84 85    878             10            1.13895
85 86    880             9            1.02273
86 87    909             7            0.770077
87 88    897             6            0.668896
88 89    892             4            0.44843
89 90    933             9            0.96463
90 91    928             6            0.646552
91 92    935             3            0.320856
92 93    975             14            1.4359
93 94    943             5            0.530223
94 95    932             4            0.429185
95 96    906             4            0.441501
96 97    923             10            1.08342
97 98    941             10            1.0627
98 99    968             22            2.27273
99 100    905             5            0.552486
100 101    904             8            0.884956
101 102    931             6            0.644468
102 103    912             4            0.438596
103 104    873             7            0.801833
104 105    878             7            0.797267
105 106    878             9            1.02506
106 107    845             10            1.18343
