Wires      Total Counts    CT Counts    CT (%)
0 1    13             0            0
1 2    23             1            4.34783
2 3    26             0            0
3 4    27             1            3.7037
4 5    27             0            0
5 6    30             0            0
6 7    31             0            0
7 8    42             0            0
8 9    47             1            2.12766
9 10    54             1            1.85185
10 11    57             2            3.50877
11 12    66             0            0
12 13    68             1            1.47059
13 14    70             3            4.28571
14 15    78             4            5.12821
15 16    85             2            2.35294
16 17    96             2            2.08333
17 18    106             2            1.88679
18 19    125             1            0.8
19 20    143             2            1.3986
20 21    151             1            0.662252
21 22    159             3            1.88679
22 23    175             2            1.14286
23 24    180             3            1.66667
24 25    180             2            1.11111
25 26    185             1            0.540541
26 27    181             1            0.552486
27 28    175             1            0.571429
28 29    179             3            1.67598
29 30    191             0            0
30 31    191             3            1.57068
31 32    205             1            0.487805
32 33    221             0            0
33 34    227             1            0.440529
34 35    241             5            2.07469
35 36    237             3            1.26582
36 37    242             1            0.413223
37 38    228             2            0.877193
38 39    228             2            0.877193
39 40    228             3            1.31579
40 41    229             3            1.31004
41 42    227             3            1.32159
42 43    222             3            1.35135
43 44    221             2            0.904977
44 45    235             1            0.425532
45 46    218             2            0.917431
46 47    225             0            0
47 48    211             2            0.947867
48 49    214             1            0.46729
49 50    231             2            0.865801
50 51    241             2            0.829876
51 52    235             2            0.851064
52 53    248             1            0.403226
53 54    259             1            0.3861
54 55    259             0            0
55 56    253             1            0.395257
56 57    254             4            1.5748
57 58    253             0            0
58 59    254             1            0.393701
59 60    272             3            1.10294
60 61    271             2            0.738007
61 62    253             0            0
62 63    255             4            1.56863
63 64    261             0            0
64 65    251             3            1.19522
65 66    253             2            0.790514
66 67    254             0            0
67 68    258             0            0
68 69    243             1            0.411523
69 70    238             1            0.420168
70 71    236             3            1.27119
71 72    247             3            1.21457
72 73    241             0            0
73 74    244             1            0.409836
74 75    258             3            1.16279
75 76    254             5            1.9685
76 77    262             2            0.763359
77 78    269             1            0.371747
78 79    266             1            0.37594
