Wires      Total Counts    CT Counts    CT (%)
246 247    814             14            1.7199
247 248    810             8            0.987654
248 249    829             4            0.482509
249 250    818             4            0.488998
250 251    817             5            0.611995
251 252    790             5            0.632911
252 253    802             9            1.12219
253 254    804             5            0.621891
254 255    810             6            0.740741
255 256    836             7            0.837321
256 257    834             10            1.19904
257 258    801             4            0.499376
258 259    792             4            0.505051
259 260    791             3            0.379267
260 261    785             3            0.382166
261 262    779             8            1.02696
262 263    772             4            0.518135
263 264    789             4            0.506971
264 265    791             1            0.126422
265 266    768             4            0.520833
266 267    795             8            1.00629
267 268    822             7            0.851582
268 269    805             4            0.496894
269 270    825             7            0.848485
270 271    808             3            0.371287
271 272    785             3            0.382166
272 273    789             5            0.633714
273 274    770             8            1.03896
274 275    787             10            1.27065
275 276    786             6            0.763359
276 277    817             8            0.979192
277 278    813             9            1.10701
278 279    806             9            1.11663
279 280    812             7            0.862069
280 281    787             6            0.762389
281 282    821             5            0.609013
282 283    792             8            1.0101
283 284    775             13            1.67742
284 285    770             7            0.909091
285 286    763             7            0.917431
286 287    785             7            0.89172
287 288    758             7            0.923483
288 289    744             6            0.806452
289 290    783             11            1.40485
290 291    811             9            1.10974
291 292    793             8            1.00883
292 293    818             6            0.733496
293 294    820             8            0.97561
294 295    772             8            1.03627
295 296    764             7            0.91623
296 297    755             11            1.45695
297 298    738             5            0.677507
298 299    756             8            1.0582
299 300    732             8            1.0929
300 301    770             8            1.03896
301 302    781             9            1.15237
302 303    777             7            0.900901
303 304    797             4            0.501882
304 305    784             1            0.127551
305 306    786             4            0.508906
306 307    788             6            0.761421
307 308    790             5            0.632911
308 309    793             7            0.882724
309 310    769             6            0.780234
310 311    783             5            0.63857
311 312    764             6            0.78534
312 313    748             8            1.06952
313 314    784             2            0.255102
314 315    813             6            0.738007
315 316    823             6            0.72904
316 317    822             5            0.608273
317 318    789             7            0.887199
318 319    792             7            0.883838
319 320    741             3            0.404858
320 321    716             7            0.977654
321 322    699             6            0.858369
322 323    713             11            1.54278
323 324    704             12            1.70455
324 325    654             8            1.22324
325 326    651             4            0.614439
