Wires      Total Counts    CT Counts    CT (%)
0 1    27             0            0
1 2    50             2            4
2 3    62             0            0
3 4    59             0            0
4 5    64             0            0
5 6    62             0            0
6 7    64             0            0
7 8    65             0            0
8 9    79             2            2.53165
9 10    90             1            1.11111
10 11    98             1            1.02041
11 12    95             0            0
12 13    97             1            1.03093
13 14    110             1            0.909091
14 15    118             0            0
15 16    124             2            1.6129
16 17    130             1            0.769231
17 18    143             1            0.699301
18 19    145             0            0
19 20    144             1            0.694444
20 21    143             1            0.699301
21 22    142             0            0
22 23    148             2            1.35135
23 24    146             1            0.684932
24 25    155             1            0.645161
25 26    169             0            0
26 27    179             1            0.558659
27 28    182             2            1.0989
28 29    181             1            0.552486
29 30    186             4            2.15054
30 31    209             1            0.478469
31 32    212             1            0.471698
32 33    200             4            2
33 34    218             3            1.37615
34 35    193             4            2.07254
35 36    198             5            2.52525
36 37    213             2            0.938967
37 38    213             2            0.938967
38 39    210             0            0
39 40    212             1            0.471698
40 41    218             0            0
41 42    225             1            0.444444
42 43    215             1            0.465116
43 44    224             1            0.446429
44 45    233             3            1.28755
45 46    225             2            0.888889
46 47    234             2            0.854701
47 48    235             1            0.425532
48 49    244             4            1.63934
49 50    241             5            2.07469
50 51    240             2            0.833333
51 52    243             2            0.823045
52 53    213             1            0.469484
53 54    225             2            0.888889
54 55    233             2            0.858369
55 56    244             2            0.819672
56 57    249             6            2.40964
57 58    256             4            1.5625
58 59    268             4            1.49254
59 60    263             2            0.760456
60 61    268             2            0.746269
61 62    256             0            0
62 63    245             3            1.22449
63 64    238             0            0
64 65    234             1            0.42735
65 66    244             5            2.04918
66 67    256             2            0.78125
67 68    238             0            0
68 69    244             3            1.22951
69 70    237             2            0.843882
70 71    239             1            0.41841
71 72    238             1            0.420168
72 73    251             3            1.19522
73 74    252             1            0.396825
74 75    255             4            1.56863
75 76    252             1            0.396825
76 77    241             1            0.414938
77 78    247             2            0.809717
78 79    247             0            0
79 80    256             3            1.17188
80 81    270             4            1.48148
81 82    279             1            0.358423
82 83    261             1            0.383142
83 84    249             1            0.401606
84 85    273             3            1.0989
85 86    270             2            0.740741
86 87    265             6            2.26415
87 88    251             1            0.398406
88 89    238             2            0.840336
89 90    223             0            0
90 91    233             3            1.28755
91 92    231             1            0.4329
92 93    248             1            0.403226
93 94    263             2            0.760456
94 95    272             3            1.10294
95 96    276             4            1.44928
96 97    282             3            1.06383
97 98    259             2            0.772201
98 99    244             7            2.86885
99 100    248             2            0.806452
100 101    252             3            1.19048
101 102    255             1            0.392157
102 103    268             5            1.86567
103 104    267             1            0.374532
104 105    265             2            0.754717
105 106    259             2            0.772201
106 107    244             3            1.22951
107 108    241             3            1.24481
108 109    237             2            0.843882
109 110    216             3            1.38889
110 111    228             3            1.31579
111 112    230             4            1.73913
112 113    240             2            0.833333
113 114    249             2            0.803213
114 115    263             0            0
115 116    248             1            0.403226
116 117    227             3            1.32159
117 118    234             3            1.28205
118 119    241             3            1.24481
119 120    261             2            0.766284
120 121    276             5            1.81159
121 122    267             1            0.374532
122 123    258             4            1.55039
123 124    234             4            1.7094
124 125    227             3            1.32159
125 126    218             1            0.458716
126 127    225             2            0.888889
127 128    230             4            1.73913
128 129    253             5            1.97628
129 130    260             2            0.769231
130 131    268             2            0.746269
131 132    260             0            0
132 133    248             2            0.806452
133 134    245             5            2.04082
134 135    239             6            2.51046
135 136    213             2            0.938967
136 137    191             2            1.04712
137 138    202             2            0.990099
138 139    188             1            0.531915
139 140    187             0            0
140 141    207             2            0.966184
141 142    217             2            0.921659
142 143    216             0            0
143 144    218             0            0
144 145    233             0            0
145 146    232             1            0.431034
146 147    234             4            1.7094
